country,country_code,continent,population,indicator,weekly_count,year_week,rate_14_day,cumulative_count,source,note
Austria,AUT,Europe,8932664,cases,NA,2020-01,NA,NA,TESSy COVID-19,
Austria,AUT,Europe,8932664,cases,NA,2020-02,NA,NA,TESSy COVID-19,
Austria,AUT,Europe,8932664,cases,NA,2020-03,NA,NA,TESSy COVID-19,
Austria,AUT,Europe,8932664,cases,NA,2020-04,NA,NA,TESSy COVID-19,
Austria,AUT,Europe,8932664,cases,NA,2020-05,NA,NA,TESSy COVID-19,
Austria,AUT,Europe,8932664,cases,NA,2020-06,NA,NA,TESSy COVID-19,
Austria,AUT,Europe,8932664,cases,NA,2020-07,NA,NA,TESSy COVID-19,
Austria,AUT,Europe,8932664,cases,NA,2020-08,NA,NA,TESSy COVID-19,
Austria,AUT,Europe,8932664,cases,12,2020-09,NA,12,TESSy COVID-19,
Austria,AUT,Europe,8932664,cases,115,2020-10,1.4217483160678606,127,TESSy COVID-19,
Austria,AUT,Europe,8932664,cases,874,2020-11,11.071725075520584,1001,TESSy COVID-19,
Austria,AUT,Europe,8932664,cases,3046,2020-12,43.88388503138594,4047,TESSy COVID-19,
Austria,AUT,Europe,8932664,cases,5098,2020-13,91.17101012643037,9145,TESSy COVID-19,
Austria,AUT,Europe,8932664,cases,3114,2020-14,91.93226119330134,12259,TESSy COVID-19,
Austria,AUT,Europe,8932664,cases,1838,2020-15,55.43698945801611,14097,TESSy COVID-19,
Austria,AUT,Europe,8932664,cases,686,2020-16,28.255848423269924,14783,TESSy COVID-19,
Austria,AUT,Europe,8932664,cases,450,2020-17,12.717370764197556,15233,TESSy COVID-19,
Austria,AUT,Europe,8932664,cases,309,2020-18,8.496905290515796,15542,TESSy COVID-19,
Austria,AUT,Europe,8932664,cases,260,2020-19,6.369880250729234,15802,TESSy COVID-19,
Austria,AUT,Europe,8932664,cases,324,2020-20,6.5378032801860675,16126,TESSy COVID-19,
Austria,AUT,Europe,8932664,cases,264,2020-21,6.58258275470789,16390,TESSy COVID-19,
Austria,AUT,Europe,8932664,cases,195,2020-22,5.138444701379118,16585,TESSy COVID-19,
Austria,AUT,Europe,8932664,cases,228,2020-23,4.735429430682717,16813,TESSy COVID-19,
Austria,AUT,Europe,8932664,cases,172,2020-24,4.477947452182238,16985,TESSy COVID-19,
Austria,AUT,Europe,8932664,cases,248,2020-25,4.70184482479135,17233,TESSy COVID-19,
Austria,AUT,Europe,8932664,cases,334,2020-26,6.515413542925156,17567,TESSy COVID-19,
Austria,AUT,Europe,8932664,cases,640,2020-27,10.903802046063749,18207,TESSy COVID-19,
Austria,AUT,Europe,8932664,cases,597,2020-28,13.84805249587357,18804,TESSy COVID-19,
Austria,AUT,Europe,8932664,cases,784,2020-29,15.460113578659177,19588,TESSy COVID-19,
Austria,AUT,Europe,8932664,cases,872,2020-30,18.538702452034467,20460,TESSy COVID-19,
Austria,AUT,Europe,8932664,cases,792,2020-31,18.62826140107811,21252,TESSy COVID-19,
Austria,AUT,Europe,8932664,cases,721,2020-32,16.937836237879317,21973,TESSy COVID-19,
Austria,AUT,Europe,8932664,cases,1461,2020-33,24.42720335165411,23434,TESSy COVID-19,
Austria,AUT,Europe,8932664,cases,1908,2020-34,37.7155124160049,25342,TESSy COVID-19,
Austria,AUT,Europe,8932664,cases,1943,2020-35,43.1114390958845,27285,TESSy COVID-19,
Austria,AUT,Europe,8932664,cases,2263,2020-36,47.08561745969623,29548,TESSy COVID-19,
Austria,AUT,Europe,8932664,cases,3995,2020-37,70.05748788939111,33543,TESSy COVID-19,
Austria,AUT,Europe,8932664,cases,5215,2020-38,103.10474008649604,38758,TESSy COVID-19,
Austria,AUT,Europe,8932664,cases,4661,2020-39,110.56052259437946,43419,TESSy COVID-19,
Austria,AUT,Europe,8932664,cases,5603,2020-40,114.90413162299623,49022,TESSy COVID-19,
Austria,AUT,Europe,8932664,cases,7487,2020-41,146.54083037266375,56509,TESSy COVID-19,
Austria,AUT,Europe,8932664,cases,9898,2020-42,194.62279114047053,66407,TESSy COVID-19,
Austria,AUT,Europe,8932664,cases,18262,2020-43,315.24750063362956,84669,TESSy COVID-19,
Austria,AUT,Europe,8932664,cases,31614,2020-44,558.3552678126033,116283,TESSy COVID-19,
Austria,AUT,Europe,8932664,cases,44773,2020-45,855.1424300746115,161056,TESSy COVID-19,
Austria,AUT,Europe,8932664,cases,47837,2020-46,1036.7567838664927,208893,TESSy COVID-19,
Austria,AUT,Europe,8932664,cases,40699,2020-47,991.1488890660166,249592,TESSy COVID-19,
Austria,AUT,Europe,8932664,cases,31142,2020-48,804.2505572805604,280734,TESSy COVID-19,
Austria,AUT,Europe,8932664,cases,23070,2020-49,606.8962181942587,303804,TESSy COVID-19,
Austria,AUT,Europe,8932664,cases,18694,2020-50,467.5424934823475,322498,TESSy COVID-19,
Austria,AUT,Europe,8932664,cases,14841,2020-51,375.41991952232837,337339,TESSy COVID-19,
Austria,AUT,Europe,8932664,cases,13415,2020-52,316.3222080221533,350754,TESSy COVID-19,
Austria,AUT,Europe,8932664,cases,14916,2020-53,317.16182316943747,365670,TESSy COVID-19,
Austria,AUT,Europe,8932664,cases,14636,2021-01,330.83075776722376,380306,TESSy COVID-19,
Austria,AUT,Europe,8932664,cases,10948,2021-02,286.40951904157595,391254,TESSy COVID-19,
Austria,AUT,Europe,8932664,cases,10156,2021-03,236.2565075771349,401410,TESSy COVID-19,
Austria,AUT,Europe,8932664,cases,9513,2021-04,220.19187109243111,410923,TESSy COVID-19,
Austria,AUT,Europe,8932664,cases,9115,2021-05,208.53801284812684,420038,TESSy COVID-19,
Austria,AUT,Europe,8932664,cases,9458,2021-06,207.92229507345178,429496,TESSy COVID-19,
Austria,AUT,Europe,8932664,cases,11626,2021-07,236.03261020452578,441122,TESSy COVID-19,
Austria,AUT,Europe,8932664,cases,14178,2021-08,288.8723901402762,455300,TESSy COVID-19,
Austria,AUT,Europe,8932664,cases,16313,2021-09,341.34273941122154,471613,TESSy COVID-19,
Austria,AUT,Europe,8932664,cases,18218,2021-10,386.5700086782622,489831,TESSy COVID-19,
Austria,AUT,Europe,8932664,cases,21074,2021-11,439.86877822786124,510905,TESSy COVID-19,
Austria,AUT,Europe,8932664,cases,22296,2021-12,485.5214525028592,533201,TESSy COVID-19,
Austria,AUT,Europe,8932664,cases,20779,2021-13,482.21896625687475,553980,TESSy COVID-19,
Austria,AUT,Europe,8932664,cases,17589,2021-14,429.52471961332026,571569,TESSy COVID-19,
Austria,AUT,Europe,8932664,cases,16809,2021-15,385.08109115041157,588378,TESSy COVID-19,
Austria,AUT,Europe,8932664,cases,15046,2021-16,356.61254022316297,603424,TESSy COVID-19,
Austria,AUT,Europe,8932664,cases,12529,2021-17,308.69850248481305,615953,TESSy COVID-19,
Austria,AUT,Europe,8932664,cases,9016,2021-18,241.1934446431658,624969,TESSy COVID-19,
Austria,AUT,Europe,8932664,cases,5736,2021-19,165.14670203648095,630705,TESSy COVID-19,
Austria,AUT,Europe,8932664,cases,4152,2021-20,110.69486101794493,634857,TESSy COVID-19,
Austria,AUT,Europe,8932664,cases,3155,2021-21,81.80090508273904,638012,TESSy COVID-19,
Austria,AUT,Europe,8932664,cases,2423,2021-22,62.44497722068131,640435,TESSy COVID-19,
Austria,AUT,Europe,8932664,cases,1686,2021-23,45.99971520254204,642121,TESSy COVID-19,
Austria,AUT,Europe,8932664,cases,1002,2021-24,30.09180687866464,643123,TESSy COVID-19,
Austria,AUT,Europe,8932664,cases,681,2021-25,18.840963905056768,643804,TESSy COVID-19,
Austria,AUT,Europe,8932664,cases,632,2021-26,14.698862511788196,644436,TESSy COVID-19,
Austria,AUT,Europe,8932664,cases,1088,2021-27,19.255174044383622,645524,TESSy COVID-19,
Austria,AUT,Europe,8932664,cases,2197,2021-28,36.77514345104663,647721,TESSy COVID-19,
Austria,AUT,Europe,8932664,cases,2529,2021-29,52.90694914753314,650250,TESSy COVID-19,
Austria,AUT,Europe,8932664,cases,3261,2021-30,64.8182893703379,653511,TESSy COVID-19,
